projectTitle,projectCategory,schooling,projectDate,sdgIds,introTitle,introContent,coverImageUrl,coverImageAltText,problemDescription,solutionProposed,innovationProcess,mediaType,mediaUrl,mediaAltText,teamMembers,technologies,additionalResources,imageGallery,rubricInnovation,rubricCollaboration,rubricImpact,rubricTechUse,rubricPresentation
"EcoLadrillos Comunitarios","Impacto Social","Secundaria","2024-10-20","1,11,12","Construyendo un Futuro Sostenible","Proyecto para fabricar ecoladrillos con desechos plásticos y promover su uso en construcciones locales menores.","assets/img/eco-ladrillos/cover.jpg","Jóvenes apilando ecoladrillos coloridos.","Alta contaminación por plásticos PET y falta de materiales de construcción económicos para pequeñas infraestructuras comunitarias.","Capacitar a la comunidad para crear ecoladrillos (botellas PET rellenas de plásticos limpios y secos) y diseñar pequeños prototipos constructivos (bancas, jardineras).","<p><strong>Investigación:</strong> Sobre la técnica de ecoladrillos y su viabilidad.</p><p><strong>Talleres:</strong> Impartición de talleres de sensibilización y fabricación.</p><p><strong>Diseño:</strong> Creación de diseños simples para mobiliario urbano.</p><p><strong>Construcción:</strong> Prototipos construidos con la comunidad.</p>","video","https://www.youtube.com/embed/Z1RJmh_OqeA",,"Ana Sofía López Herrera;Líder del Proyecto;https://sbt.example.com/ana-sofia;Innovación Social y Sostenibilidad;Prompt Sage;Master;Gestión Proyectos,Liderazgo Comunitario,Reciclaje Creativo,Comunicación;Impacto Comunitario,Viabilidad,Participación;Escuela Secundaria Técnica 33;2024-10-15;assets/img/eco-ladrillos/ana-lopez-cert-preview.png;assets/img/eco-ladrillos/ana-lopez-cert-print.pdf | Juan Carlos Pérez Gómez;Diseñador Constructivo;;Innovación Social y Sostenibilidad;Design Architect;Master;Diseño Ecológico,Autocad (básico),Materiales Alternativos;Diseño Funcional,Seguridad Estructural,Uso Materiales;Escuela Secundaria Técnica 33;2024-10-15;assets/img/eco-ladrillos/juan-perez-cert-preview.png;assets/img/eco-ladrillos/juan-perez-cert-print.pdf | María Fernanda Vidal Cruz;Encargada de Talleres;;Innovación Social y Sostenibilidad;Tech Voyager;Rookie;Educación Ambiental,Facilitación Grupos,Logística Eventos;Calidad Talleres,Participación Asistentes,Materiales Didácticos;Escuela Secundaria Técnica 33;2024-10-15;assets/img/eco-ladrillos/maria-vidal-cert-preview.png;assets/img/eco-ladrillos/maria-vidal-cert-print.pdf | Luis Mateo Rojas Díaz;Comunicación y Difusión;;Innovación Social y Sostenibilidad;Code Explorer;Rookie;Redes Sociales,Creación Contenido,Fotografía Básica;Alcance Difusión,Claridad Mensaje,Material Visual;Escuela Secundaria Técnica 33;2024-10-15;assets/img/eco-ladrillos/luis-rojas-cert-preview.png;assets/img/eco-ladrillos/luis-rojas-cert-print.pdf","Plástico PET;recycle;Tool | Construcción Sostenible;hard-hat;Tool | Participación Comunitaria;users;Tool","Manual de Ecoladrillos;assets/docs/ecoladrillos-manual.pdf;pdf | Fotos del Taller;https://photos.example.com/ecoladrillos;website","assets/img/eco-ladrillos/gallery1.jpg;Ecoladrillos listos para usarse.;Material | assets/img/eco-ladrillos/gallery2.jpg;Banca construida con ecoladrillos.;Prototipo | assets/img/eco-ladrillos/gallery3.jpg;Participantes del taller.;Comunidad",3,3,3,2,3
"App 'Guardianes del Agua'","Desarrollo Móvil","Preparatoria","2025-03-15","6,11,14","Cuida Cada Gota","Aplicación móvil para reportar fugas de agua y concienciar sobre el ahorro mediante gamificación.","assets/img/guardianes-agua/cover.png","Pantalla de la app Guardianes del Agua con un mapa de reportes.","Desperdicio de agua por fugas no reportadas y falta de conciencia sobre su uso eficiente.","Una app donde los usuarios pueden geolocalizar y reportar fugas, recibir consejos de ahorro y ganar puntos por acciones pro-agua.","<p><strong>Diseño UX/UI:</strong> Prototipos en Figma, diseño de interfaz intuitiva y sistema de recompensas.</p><p><strong>Desarrollo App:</strong> Uso de React Native para desarrollo multiplataforma.</p><p><strong>Backend:</strong> Firebase para base de datos de reportes y autenticación.</p>","video","https://www.youtube.com/embed/QZQEUdalseI",,"Valeria Gómez Sánchez;Desarrolladora Principal React Native;;Desarrollo Móvil Sostenible;App Maverick;Hacker;React Native,Firebase,JavaScript,APIs Geo;Funcionalidad App,Experiencia Usuario,Integración Backend;CETiS No. 15;2025-03-10;assets/img/guardianes-agua/valeria-gomez-cert-preview.png;assets/img/guardianes-agua/valeria-gomez-cert-print.pdf | Diego Armando Luna Ríos;Diseñador UI/UX y Gamificación;;Desarrollo Móvil Sostenible;Design Architect;Hacker;Figma,Diseño de Interacción,Principios de Gamificación,User Testing;Interfaz Atractiva,Mecánicas de Juego,Motivación Usuario;CETiS No. 15;2025-03-10;assets/img/guardianes-agua/diego-luna-cert-preview.png;assets/img/guardianes-agua/diego-luna-cert-print.pdf | Sofía Camila Herrera Torres;Investigación y Contenido;;Desarrollo Móvil Sostenible;Prompt Sage;Master;Investigación Hídrica,Redacción Contenido Educativo,Validación Datos;Calidad Información,Relevancia Consejos,Fuentes Confiables;CETiS No. 15;2025-03-10;assets/img/guardianes-agua/sofia-herrera-cert-preview.png;assets/img/guardianes-agua/sofia-herrera-cert-print.pdf | Miguel Ángel Castillo Ortiz;Marketing y Pruebas;;Desarrollo Móvil Sostenible;Micro Programmer;Master;Estrategia de Difusión,Pruebas Funcionales,Recopilación Feedback;Adopción App,Reporte Bugs,Sugerencias Mejora;CETiS No. 15;2025-03-10;assets/img/guardianes-agua/miguel-castillo-cert-preview.png;assets/img/guardianes-agua/miguel-castillo-cert-print.pdf","React Native;react;Software | Firebase;fire;Software | Gamificación;gamepad;Tool | Figma;figma;Tool","Prototipo Interactivo;https://figma.com/guardianesagua;link","assets/img/guardianes-agua/gallery1.png;Reporte de fuga en la app;Funcionalidad Principal | assets/img/guardianes-agua/gallery2.png;Sección de consejos de ahorro;Contenido Educativo",3,3,3,3,3
"Huerto Vertical Inteligente 'GreenWall'","IoT / Robótica","Secundaria","2025-05-10","2,7,12,15","GreenWall: Cultiva en Vertical","Diseño y construcción de un huerto vertical modular con riego automatizado y monitoreo de luz/humedad usando ESP32.","assets/img/greenwall-iot/cover.jpg","Módulos de huerto vertical con plantas y luces LED.","Falta de espacio para cultivos tradicionales y necesidad de optimizar recursos (agua, luz) en entornos urbanos.","Un sistema modular de cultivo vertical con sensores de humedad, temperatura y luz. Un ESP32 controla el riego por goteo y luces LED suplementarias.","<p><strong>Diseño Modular:</strong> Creación de módulos apilables para el huerto.</p><p><strong>Electrónica:</strong> Integración de ESP32, sensores (DHT11, LDR, humedad suelo), relés para bomba y LEDs.</p><p><strong>Programación:</strong> Firmware en MicroPython/C++ para ESP32, lógica de control.</p><p><strong>Dashboard (Opcional):</strong> Visualización de datos con ThingsBoard o similar.</p>","image","assets/img/greenwall-iot/media.jpg","Dashboard mostrando datos de sensores del GreenWall.","Laura Jimena Ríos Castillo;Líder, Programadora ESP32;;Automatización y Sistemas Embebidos;Expert Roboteer;Hacker;ESP32,MicroPython,Sensores Ambientales,Control Actuadores,MQTT;Sistema Autónomo,Eficiencia Código,Integración Hardware-Software;Secundaria Tecnológica #52;2025-05-05;assets/img/certificado.png;assets/img/certificado.png | Carlos Andrés Mora Solano;Diseño Mecánico y 3D;;Automatización y Sistemas Embebidos;Design Architect;Master;Diseño CAD,Impresión 3D,Mecánica de Fluidos (básico),Ensamblaje;Diseño Modular,Funcionalidad Riego,Estabilidad Estructura;Secundaria Tecnológica #52;2025-05-05;assets/img/certificado.png;assets/img/certificado.png | Valentina Sofía Pardo Vargas;Encargada de Cultivo y Pruebas;;Automatización y Sistemas Embebidos;Tech Voyager;Master;Horticultura,Monitoreo Plantas,Análisis de Datos (sensores),Documentación Pruebas;Salud Plantas,Optimización Parámetros,Validación Sistema;Secundaria Tecnológica #52;2025-05-05;assets/img/certificado.png;assets/img/certificado.png | Mateo Alejandro Navarro Gómez;Electrónica y Conexiones;;Automatización y Sistemas Embebidos;Micro Programmer;Rookie;Circuitos Electrónicos,Soldadura,Sensores,Relés,Seguridad Eléctrica;Conexiones Fiables,Integridad Circuito,Diagnóstico Fallas;Secundaria Tecnológica #52;2025-05-05;assets/img/certificado.png;assets/img/certificado.png","ESP32;microchip;Hardware | MicroPython;python;Software | DHT11 Sensor;temperature-half;Hardware | Impresión 3D;print;Tool","Planos del Módulo;assets/docs/greenwall-planos.pdf;pdf","assets/img/greenwall-iot/gallery1.jpg;Prototipo de un módulo del huerto.;Módulo Individual | assets/img/greenwall-iot/gallery2.jpg;Circuito de control con ESP32.;Electrónica",3,2,3,3,2
"Plataforma Educativa 'AprendeIA'","Inteligencia Artificial / Web","Preparatoria","2024-12-01","4,9,10","AprendeIA: Descubre la IA","Plataforma web interactiva con tutoriales básicos y demos de conceptos de IA (ej. clasificación simple, regresión).","https://picsum.photos/seed/aprende-ia-cover/1280/720","Interfaz de AprendeIA con módulos de aprendizaje.","Dificultad para entender conceptos de IA. Falta de recursos interactivos en español.","Tutoriales guiados, visualizaciones interactivas (usando TensorFlow.js o p5.js) y pequeños quizzes para reforzar aprendizaje.","<p>Definición de temas y estructura de contenido.</p><p>Desarrollo de frontend interactivo (React/Vue).</p><p>Integración de librerías JS para IA.</p><p>Creación de contenido didáctico.</p>","video","https://www.youtube.com/embed/QZQEUdalseI",,"David Alejandro Torres Pineda;Desarrollador Frontend IA;;Introducción al Machine Learning Web;AI Paragon;Hacker;TensorFlow.js,React,JavaScript,Visualización Datos,UI/UX para Educación;Interactividad Demos,Claridad Conceptos,Experiencia de Usuario;Prepa Gnius Tech;2024-11-25;assets/img/certificado.png;assets/img/certificado.png | Fernanda Isabel Gil Herrera;Diseñadora Instruccional;;Introducción al Machine Learning Web;Prompt Sage;Master;Diseño Curricular,Creación Contenido Educativo,Evaluación Aprendizaje,Storytelling;Estructura Pedagógica,Calidad Contenido,Engagement Estudiante;Prepa Gnius Tech;2024-11-25;assets/img/certificado.png;assets/img/certificado.png | Luis Ricardo Sánchez Luna;Investigador IA, Contenido Técnico;;Introducción al Machine Learning Web;Algorithm Seeker;Master;Conceptos IA/ML,Python (para demos offline),Redacción Técnica,Validación Ejemplos;Precisión Técnica,Relevancia Ejemplos,Explicaciones Claras;Prepa Gnius Tech;2024-11-25;assets/img/certificado.png;assets/img/certificado.png | Ana Karen Vidal Ortiz;Diseñadora Gráfica, UX;;Introducción al Machine Learning Web;Design Architect;Rookie;Identidad Visual,Diseño Web Responsivo,Figma,Ilustración Digital;Atractivo Visual,Usabilidad Plataforma,Consistencia Diseño;Prepa Gnius Tech;2024-11-25;assets/img/certificado.png;assets/img/certificado.png","TensorFlow.js;robot;Software | React;react;Software | p5.js;pen-fancy;Software | Educación STEM;brain;Tool","Demo Clasificador;https://teachablemachine.withgoogle.com/;link","https://picsum.photos/seed/aprende-ia-gal1/800/600;Demo de clasificación de imágenes.;Clasificación | https://picsum.photos/seed/aprende-ia-gal2/800/600;Tutorial interactivo sobre regresión lineal.;Regresión Lineal",3,3,3,3,3
"Videojuego Serio 'EcoGuerreros'","Desarrollo de Juegos / Educación","Secundaria","2025-06-10","4,13,15","EcoGuerreros: Salva el Planeta","Juego de estrategia/simulación donde los jugadores toman decisiones para mitigar el cambio climático en una región virtual.","https://picsum.photos/seed/ecoguerreros-cover/1280/720","Pantalla del juego EcoGuerreros mostrando un mapa con indicadores ambientales.","Concienciar sobre la complejidad del cambio climático y la interconexión de acciones y consecuencias.","Simulación de factores ambientales, políticas, recursos y eventos. Los jugadores gestionan presupuestos y toman decisiones con impacto a largo plazo.","<p>Investigación sobre cambio climático y modelos de simulación.</p><p>Diseño de mecánicas de juego (estrategia, gestión de recursos).</p><p>Desarrollo en Godot Engine.</p><p>Creación de escenarios y eventos.</p>","video","https://www.youtube.com/embed/Z1RJmh_OqeA",,"Mariana Paola Ortiz Mendoza;Programadora Godot, Líder;;Diseño de Juegos Serios;Expert Roboteer;Master;Godot Engine,GDScript,Lógica de Simulación,Diseño de Sistemas Complejos,Balance de Juego;Profundidad Simulación,Jugabilidad Atractiva,Impacto Educativo;Secundaria Albert Einstein;2025-06-05;assets/img/certificado.png;assets/img/certificado.png | Javier Andrés Castillo Pineda;Investigador Ambiental, Contenido;;Diseño de Juegos Serios;Prompt Sage;Master;Cambio Climático,Sostenibilidad,Modelos Ambientales,Redacción Científica;Precisión Datos,Relevancia Escenarios,Fundamentación Decisiones;Secundaria Albert Einstein;2025-06-05;assets/img/certificado.png;assets/img/certificado.png | Elena Sofía Luna Vidal;Artista 2D/UI;;Diseño de Juegos Serios;Design Architect;Rookie;Arte 2D (conceptual),Diseño de Interfaz,Iconografía,Experiencia de Usuario (juegos);Claridad Visual,Navegación Intuitiva,Estética Coherente;Secundaria Albert Einstein;2025-06-05;assets/img/certificado.png;assets/img/certificado.png | Ricardo Mateo Gil Sánchez;Sonido y Música;;Diseño de Juegos Serios;Code Explorer;Rookie;Composición Musical (ambiental),Diseño de Sonido (efectos),Integración Audio;Inmersión Sonora,Calidad Audio,Adecuación Temática;Secundaria Albert Einstein;2025-06-05;assets/img/certificado.png;assets/img/certificado.png","Godot Engine;robot;Software | Simulación Ambiental;leaf;Tool | Diseño de Juegos Serios;brain;Tool","Paper sobre Juegos Serios;https://seriousgames-society.org/papers;link","https://picsum.photos/seed/ecoguerreros-gal1/800/450;Mapa del juego con diferentes biomas.;Escenario Principal | https://picsum.photos/seed/ecoguerreros-gal2/800/450;Panel de decisiones políticas.;Mecánica de Juego",2,3,3,2,3
"Kit Robótico 'MicroBot Explorador'","Robótica / Educación","Primaria","2024-09-05","4,9","MicroBot: Tu Primer Robot","Kit de robótica de bajo costo basado en Micro:bit para que niños ensamblen y programen un robot móvil simple.","https://picsum.photos/seed/microbot-cover/1280/720","Niños ensamblando el MicroBot Explorador.","Falta de kits robóticos accesibles y fáciles de usar para iniciación en primaria.","Chasis impreso en 3D, dos servomotores de rotación continua, sensor de ultrasonido, portapilas y Micro:bit. Guías de ensamblaje y programación por bloques.","<p>Diseño del chasis y componentes.</p><p>Creación de guías de ensamblaje ilustradas.</p><p>Desarrollo de ejemplos de código en MakeCode.</p><p>Pruebas con niños.</p>","image","https://picsum.photos/seed/microbot-media/1280/720","MicroBot Explorador ensamblado con Micro:bit.","Andrés David Rojas Torres;Diseñador 3D, Educador;;Robótica para Niños;Micro Programmer;Master;Impresión 3D (Tinkercad),Diseño para Ensamblaje,Micro:bit,MakeCode,Pedagogía STEM;Facilidad Ensamblaje,Material Didáctico Claro,Motivación Infantil;Club de Pequeños Inventores;2024-09-01;assets/img/certificado.png;assets/img/certificado.png | Isabela Camila Flores Gil;Pruebas con Usuarios, Documentación;;Robótica para Niños;Tech Voyager;Rookie;Observación Participante,Documentación Fotográfica,Redacción Sencilla,Logística Talleres;Feedback Realista,Guías Comprensibles,Organización Pruebas;Club de Pequeños Inventores;2024-09-01;assets/img/certificado.png;assets/img/certificado.png | Mateo Sebastián Vidal Luna;Electrónica Básica, Soporte;;Robótica para Niños;Robot Navigator;Rookie;Conexiones Micro:bit,Servomotores,Sensores Ultrasonido,Resolución Problemas Básicos;Funcionamiento Robot,Soporte Técnico,Seguridad;Club de Pequeños Inventores;2024-09-01;assets/img/certificado.png;assets/img/certificado.png | Ximena Valentina Pardo Ortiz;Diseño Gráfico Guías;;Robótica para Niños;Design Architect;Rookie;Ilustración Digital,Diseño Editorial (básico),Comunicación Visual para Niños;Atractivo Visual Guías,Claridad Instrucciones Gráficas;Club de Pequeños Inventores;2024-09-01;assets/img/certificado.png;assets/img/certificado.png","Micro:bit;robot;Hardware | Impresión 3D;print;Tool | MakeCode;puzzle-piece;Software | Servomotor Continuo;fan;Hardware","Guía de Ensamblaje;assets/docs/microbot-ensamblaje.pdf;pdf","https://picsum.photos/seed/microbot-gal1/800/600;Piezas impresas en 3D del chasis.;Componentes | https://picsum.photos/seed/microbot-gal2/800/600;Niño programando MicroBot con MakeCode.;Programación",3,3,2,3,2
"Plataforma 'AgroTech Comunitario'","IoT / Agricultura","Preparatoria","2025-07-10","1,2,8,12","AgroTech: Innovación en el Campo","Sistema de monitoreo y control para pequeños agricultores usando ESP8266, sensores de suelo y una app simple.","https://picsum.photos/seed/agrotech-cover/1280/720","Sensor de humedad en campo de cultivo conectado a un nodo ESP8266.","Pequeños agricultores carecen de acceso a tecnología para optimizar riego y conocer condiciones de suelo.","Nodos con ESP8266, sensor de humedad de suelo, temperatura y DHT11. Datos enviados a app vía WiFi/MQTT para visualización y alertas básicas.","<p>Selección de sensores y microcontrolador.</p><p>Desarrollo firmware ESP8266 (Arduino IDE/Lua).</p><p>Creación de app móvil simple (MIT App Inventor o similar).</p><p>Pruebas en campo simulado.</p>","video","https://www.youtube.com/embed/bMiwLs0pCB8",,"Jorge Luis Herrera Castillo;Desarrollador ESP8266;;Tecnología Agrícola de Precisión;Network Pioneer;Hacker;ESP8266,MQTT,Sensores Suelo,Arduino IDE,Bases de Datos (básico);Conectividad Fiable,Lectura Precisa Sensores,Autonomía Dispositivo;Instituto AgroTech del Valle;2025-07-05;assets/img/certificado.png;assets/img/certificado.png | Carolina Sofía Sánchez Ríos;Desarrolladora App, Agronomía;;Tecnología Agrícola de Precisión;App Maverick;Master;MIT App Inventor,Principios de Agronomía,Análisis de Datos Agrícolas,Interfaz Usuario Móvil;Utilidad App,Visualización Datos,Recomendaciones Agrícolas;Instituto AgroTech del Valle;2025-07-05;assets/img/certificado.png;assets/img/certificado.png | David Mateo Ortiz Luna;Hardware y Montaje en Campo;;Tecnología Agrícola de Precisión;Tech Voyager;Master;Ensamblaje Nodos,Protección Intemperie,Paneles Solares (básico),Mantenimiento Hardware;Robustez Nodos,Alimentación Sostenible,Instalación Campo;Instituto AgroTech del Valle;2025-07-05;assets/img/certificado.png;assets/img/certificado.png | Valeria Ximena Gil Pineda;Validación y Enlace Comunitario;;Tecnología Agrícola de Precisión;Prompt Sage;Rookie;Comunicación Agricultores,Validación en Campo,Recopilación Necesidades,Documentación Impacto;Adopción Tecnología,Mejoras Sugeridas,Impacto Real;Instituto AgroTech del Valle;2025-07-05;assets/img/certificado.png;assets/img/certificado.png","ESP8266;microchip;Hardware | Sensor Humedad Suelo;droplet;Hardware | MQTT;network-wired;Software | MIT App Inventor;mobile-alt;Tool","Paper Agricultura Precisión;https://fao.org/precision-agriculture;website","https://picsum.photos/seed/agrotech-gal1/1024/768;Nodo sensor en campo.;Instalación | https://picsum.photos/seed/agrotech-gal2/1024/768;App mostrando datos de humedad.;Aplicación Móvil",3,3,3,2,3
"Mural Interactivo 'Historia Local' con AR","Realidad Aumentada / Arte","Secundaria","2024-08-22","4,11,16","Mural AR: Revive la Historia","Mural físico en la escuela que cobra vida con información histórica y modelos 3D mediante una app de Realidad Aumentada.","https://picsum.photos/seed/mural-ar-cover/1280/720","Estudiantes viendo un mural con un tablet que muestra elementos AR.","Hacer la historia local más atractiva y memorable para los estudiantes.","Pintar un mural con marcadores AR integrados. Desarrollar una app (usando AR.js o Unity/ARFoundation) que reconozca los marcadores y superponga contenido.","<p>Investigación histórica y diseño del mural.</p><p>Pintura del mural y creación de marcadores.</p><p>Desarrollo de la app AR y contenido digital (modelos 3D, audios).</p>","image","https://picsum.photos/seed/mural-ar-media/1280/720","Detalle del mural con un modelo 3D superpuesto en AR.","Camila Andrea Pineda Soler;Artista Mural, Contenido AR;;Arte y Tecnología Educativa;Reality Master;Master;Pintura Mural,Diseño Gráfico,Creación Contenido AR (textos, imágenes),Investigación Histórica;Calidad Artística Mural,Integración AR,Contenido Relevante;Escuela Secundaria Creativa #12;2024-08-18;assets/img/certificado.png;assets/img/certificado.png | Ricardo Javier Luna Sánchez;Desarrollador AR;;Arte y Tecnología Educativa;Expert Roboteer;Hacker;AR.js,A-Frame,JavaScript,Modelos 3D (integración),Pruebas AR;Funcionalidad AR,Detección Marcadores,Experiencia Usuario AR;Escuela Secundaria Creativa #12;2024-08-18;assets/img/certificado.png;assets/img/certificado.png | Sofía Valentina Herrera Gil;Investigadora Histórica;;Arte y Tecnología Educativa;Algorithm Seeker;Rookie;Historia Local,Investigación Archivos,Redacción Guiones,Validación Contenido;Precisión Histórica,Narrativa Atractiva,Fuentes Primarias;Escuela Secundaria Creativa #12;2024-08-18;assets/img/certificado.png;assets/img/certificado.png | Mateo Luis Vidal Castillo;Modelador 3D (básico), Soporte;;Arte y Tecnología Educativa;Micro Programmer;Rookie;Blender (básico),Optimización Modelos 3D,Soporte Técnico,Documentación;Modelos 3D Funcionales,Integración App,Asistencia Técnica;Escuela Secundaria Creativa #12;2024-08-18;assets/img/certificado.png;assets/img/certificado.png","AR.js;camera;Software | A-Frame;cubes;Software | Pintura Mural;paint-brush;Tool | Modelado 3D;cube;Tool","Ejemplos Murales AR;https://Zappar.com/augmented-reality-murals/;link","https://picsum.photos/seed/mural-ar-gal1/800/600;Boceto del mural.;Diseño Conceptual | https://picsum.photos/seed/mural-ar-gal2/800/600;Mural en proceso de pintura.;Creación Artística",2,3,3,2,3
"Plataforma 'Conexión Estudiantil Pro'","Desarrollo Web","Preparatoria","2025-09-05","1,4,8,10,17","Conexión Pro: Impulsa tu Futuro","Versión avanzada de 'IdeaNet' con perfiles profesionales, bolsa de trabajo para pasantías y proyectos freelance para estudiantes.","https://picsum.photos/seed/conexion-pro-cover/1280/720","Interfaz de Conexión Estudiantil Pro mostrando perfiles y ofertas.","Conectar a estudiantes con oportunidades tempranas de experiencia laboral y profesional.","Perfiles tipo CV, búsqueda de pasantías/proyectos por habilidad/interés, sistema de evaluación de colaboraciones, integración con LinkedIn (opcional).","<p>Análisis de plataformas de empleo.</p><p>Diseño de funcionalidades y UX para perfiles profesionales y ofertas.</p><p>Desarrollo Full-Stack (ej. Django/Python o MERN stack).</p><p>Partnerships con empresas locales (simulado).</p>","video","https://www.youtube.com/embed/Z1RJmh_OqeA",,"Gabriela Fernanda Torres Ortiz;Líder de Proyecto, Backend Dev;;Desarrollo de Plataformas Profesionales;App Maverick;Hacker;Django,Python,PostgreSQL,APIs REST,Diseño de Sistemas;Arquitectura Robusta,Seguridad Datos,Escalabilidad,Gestión de Equipos;Universidad Gnius (simulada);2025-09-01;assets/img/certificado.png;assets/img/certificado.png | Juan Diego Pineda Castillo;Frontend Dev (React/Vue);;Desarrollo de Plataformas Profesionales;Code Explorer;Master;React,Redux/Vuex,Diseño Responsivo Avanzado,Optimización Rendimiento Web,Accesibilidad (WCAG);Interfaz Fluida,Experiencia de Usuario Óptima,Rendimiento;Universidad Gnius (simulada);2025-09-01;assets/img/certificado.png;assets/img/certificado.png | Alejandro Mateo Soler Vidal;Diseñador UX/UI, Investigación;;Desarrollo de Plataformas Profesionales;Design Architect;Master;Investigación de Mercado,User Personas,Customer Journey Mapping,Prototipado Avanzado (Figma/Adobe XD),Pruebas A/B;Diseño Centrado en el Usuario,Conversión,Retención;Universidad Gnius (simulada);2025-09-01;assets/img/certificado.png;assets/img/certificado.png | Ximena Sofía Gil Luna;Marketing Digital, Contenido;;Desarrollo de Plataformas Profesionales;Prompt Sage;Rookie;SEO,SEM,Marketing de Contenidos,Email Marketing,Analítica Web;Adquisición Usuarios,Engagement,Comunicación de Marca;Universidad Gnius (simulada);2025-09-01;assets/img/certificado.png;assets/img/certificado.png","Django;python;Software | React;react;Software | PostgreSQL;database;Software | LinkedIn API;linkedin;Tool","Artículo sobre Redes Profesionales;https://forbes.com/networking;link","https://picsum.photos/seed/conexion-pro-gal1/1024/768;Perfil profesional de estudiante.;Perfiles | https://picsum.photos/seed/conexion-pro-gal2/1024/768;Bolsa de trabajo con filtros.;Ofertas",3,3,3,3,3
"Asistente de Estudio 'StudyBuddy AI'","IA / Educación","Secundaria","2026-04-12","4","StudyBuddy: Tu Compañero de Estudio AI","Herramienta que resume textos largos, genera preguntas de repaso y crea flashcards a partir de apuntes o documentos.","https://picsum.photos/seed/studybuddy-ai-cover/1280/720","Interfaz de StudyBuddy AI mostrando un texto resumido.","Estudiantes necesitan herramientas eficientes para procesar información y estudiar.","Uso de APIs de NLP (summarization, question generation como OpenAI GPT o similar, o modelos open-source más simples) integradas en una app web/escritorio.","<p>Investigación de APIs de NLP y técnicas de estudio.</p><p>Diseño de interfaz para carga de documentos y visualización de resultados.</p><p>Backend para procesar texto con la API.</p><p>Frontend para interacción.</p>","image","https://picsum.photos/seed/studybuddy-ai-media/1280/720","Ejemplo de flashcards generadas por StudyBuddy.","Camila Valentina Luna Ríos;Desarrolladora IA (Python/NLP);;IA para la Educación;AI Paragon;Hacker;Python,NLTK,Spacy,APIs GPT,Summarization,Question Generation;Calidad Resúmenes,Relevancia Preguntas,Integración API;Instituto de Innovación Educativa;2026-04-08;assets/img/certificado.png;assets/img/certificado.png | Luis Andrés Pardo Sánchez;Desarrollador Frontend;;IA para la Educación;Code Explorer;Master;JavaScript,HTML,CSS,Framework JS (Vue/React),Diseño UI/UX;Interfaz Intuitiva,Facilidad de Uso,Visualización Resultados;Instituto de Innovación Educativa;2026-04-08;assets/img/certificado.png;assets/img/certificado.png | Ana Sofía Ortiz Gil;Experta en Pedagogía, Contenido;;IA para la Educación;Prompt Sage;Master;Técnicas de Estudio,Diseño Instruccional,Validación Contenido Educativo,Pruebas con Estudiantes;Efectividad Herramienta,Adaptación a Necesidades Estudiantiles;Instituto de Innovación Educativa;2026-04-08;assets/img/certificado.png;assets/img/certificado.png | Diego Mateo Herrera Vidal;Marketing y Difusión;;IA para la Educación;Tech Voyager;Rookie;Marketing Educativo,Redes Sociales,Creación Tutoriales,Soporte Usuarios;Adopción Herramienta,Feedback Usuarios,Material de Apoyo;Instituto de Innovación Educativa;2026-04-08;assets/img/certificado.png;assets/img/certificado.png","NLP;brain;Tool | GPT API;robot;Software | Python;python;Software | Summarization;file-alt;Tool","Artículo Técnicas de Estudio;https://learningscientists.org;link","https://picsum.photos/seed/studybuddy-ai-gal1/1024/768;Texto original y resumen generado.;Resumen | https://picsum.photos/seed/studybuddy-ai-gal2/1024/768;Preguntas generadas a partir de un texto.;Preguntas Repaso",3,2,3,3,2
